title,company,salary,link,experience,grade,remote,metro,query,skills_found,published_date
Data Analyst middle в команду управления коммуникациями с клиентом,Сбер. IT,Не указана,https://hh.ru/vacancy/133088832,Опыт 3-6 лет,middle,Нет,Не указано,data analyst,"python, sql, tableau, qlik, excel, spark, pandas, numpy, matplotlib, ml",
Data Scientist,Сбер. Data Science,Не указана,https://hh.ru/vacancy/133062495,Опыт 1-3 года,не указан,Нет,Не указано,data analyst,"python, git, pandas, numpy, scikit, ml",
Системный аналитик Middle/Senior (ITSM),Leantech AI Lab,Не указана,https://hh.ru/vacancy/133361985,Опыт 3-6 лет,senior,Да,Алексеевская,data analyst,"postgresql, clickhouse, git, jira, confluence, api",
Аналитик данных / Data-аналитик / Data Scientist / Продуктовый аналитик (Python),Яндекс,Не указана,https://hh.ru/vacancy/132984463,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,python,
Sr. Information Security Analyst (Biotech / Life Sciences) (to Yerevan),BostonGene Technologies,Не указана,https://hh.ru/vacancy/133251270,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,Не найдено,
Аналитик данных (Data Analyst),ООО Хоум Эксперт,Не указана,https://hh.ru/vacancy/132909879,Опыт 1-3 года,не указан,Нет,Войковская,data analyst,"python, sql, clickhouse, power bi, tableau, datalens, airflow, pandas, numpy, 1с, etl, api",
Data Engineer,Ozon Офис и Коммерция,Не указана,https://hh.ru/vacancy/132655368,Опыт 3-6 лет,не указан,Нет,Деловой центр,data analyst,"python, sql, clickhouse, hadoop, superset, airflow, spark, etl",
Middle Data engineer в отдел портфельного анализа массового сегмента МБ и моделирования,"ПАО ВТБ, Подразделения Поддержки и Контроля",Не указана,https://hh.ru/vacancy/132662227,Опыт 1-3 года,middle,Нет,Деловой центр,data analyst,"python, greenplum, hadoop, excel",
Data Engineer,Литрес,Не указана,https://hh.ru/vacancy/133033485,Опыт 1-3 года,не указан,Да,Бутырская,data analyst,"sql, postgresql, clickhouse, oracle, airflow, git, etl",
Системный Дата-аналитик,Rubytech,Не указана,https://hh.ru/vacancy/132348666,Опыт 3-6 лет,не указан,Нет,Алексеевская,data analyst,"python, sql, postgresql, mysql, hadoop, power bi, tableau, excel, airflow, spark, git, matplotlib, etl, api",
Senior Data Analyst / Researcher (Антифрод),РТЛабс,Не указана,https://hh.ru/vacancy/132898695,Опыт 3-6 лет,senior,Нет,Проспект Вернадского,data analyst,"python, sql, power bi, superset, datalens, pandas, numpy, scikit, matplotlib",
Старший финансовый аналитик,Магнит OMNI,Не указана,https://hh.ru/vacancy/132343661,Опыт 3-6 лет,senior,Нет,Савёловская,data analyst,Не найдено,
HR Operations Analyst,Employcity,Не указана,https://hh.ru/vacancy/132654082,Опыт 1-3 года,не указан,Нет,Дмитровская,data analyst,"python, sql, clickhouse, tableau, excel, airflow",
Руководитель продуктовой аналитики,Hoff.Офис,Не указана,https://hh.ru/vacancy/132297412,Опыт 3-6 лет,не указан,Нет,Улица 1905 года,data analyst,"sql, power bi, a/b, ml",
Senior data engineer / Инженер по работе с данными,"X5, Медиа",Не указана,https://hh.ru/vacancy/133202783,Опыт более 6 лет,senior,Да,Добрынинская,data analyst,"python, postgresql, clickhouse, mysql, mongodb, airflow, kafka",
Data Science/ML (видеоаналитика),Star-Staff,Не указана,https://hh.ru/vacancy/133134411,Опыт более 6 лет,не указан,Нет,Библиотека им.Ленина,data analyst,python,
Старший аналитик/консультант по стратегии,Московский метрополитен,Не указана,https://hh.ru/vacancy/130701662,Опыт 1-3 года,senior,Нет,Не указано,data analyst,excel,
Старший Data Scientist в команду монетизации рекламных объявлений,АВИТО ТЕХ: разработка,Не указана,https://hh.ru/vacancy/133192550,Опыт 3-6 лет,senior,Да,Белорусская,data analyst,ml,
Scientific and Market Insights Analyst,BostonGene Technologies,Не указана,https://hh.ru/vacancy/133100173,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"python, power bi, tableau",
Senior Data Analyst (Core),Okko,Не указана,https://hh.ru/vacancy/132760000,Опыт 3-6 лет,senior,Да,Не указано,data analyst,"python, sql, a/b, ml",
Data Engineer (Сбер),ООО ИЦ АЙ-ТЕКО,Не указана,https://hh.ru/vacancy/133061675,Опыт 3-6 лет,не указан,Нет,Библиотека им.Ленина,data analyst,"python, sql, greenplum, hadoop, git, pandas, jira, etl",
"Data Analyst (портфельная аналитика, розничное взыскание)",Сбер. Data Science,Не указана,https://hh.ru/vacancy/132899735,Опыт 1-3 года,не указан,Нет,Не указано,data analyst,"python, sql, greenplum, hadoop, excel, pandas, numpy, matplotlib",
Supply Chain Analyst,Johnson & Johnson,Не указана,https://hh.ru/vacancy/132997418,Опыт 1-3 года,не указан,Нет,Не указано,data analyst,"sql, power bi, excel, power query",
Chief Data Officer (CDO),ООО МФК ВЭББАНКИР,Не указана,https://hh.ru/vacancy/133105818,Опыт 3-6 лет,не указан,Нет,Митино,data analyst,"python, sql, airflow, kafka, etl, ml",
Системный аналитик (Tantor DI),Группа компаний Астра,Не указана,https://hh.ru/vacancy/129612155,Опыт 3-6 лет,не указан,Нет,Бутырская,data analyst,"python, postgresql, kafka, confluence, etl, api",
"Аналитик данных (CRM, SQL)",Rambler&Co,Не указана,https://hh.ru/vacancy/132880608,Опыт 1-3 года,не указан,Нет,Не указано,data analyst,"python, sql, oracle, excel, spark",
Старший маркетолог-аналитик,Нильсен,Не указана,https://hh.ru/vacancy/132338103,Опыт 3-6 лет,senior,Нет,Новокузнецкая,data analyst,excel,
Аналитик данных,ООО Айтиспортс,Не указана,https://hh.ru/vacancy/133149724,Опыт 1-3 года,не указан,Нет,Трикотажная,data analyst,"excel, google sheets",
Data analyst/Аналитик DWH,ООО ИЦ АЙ-ТЕКО,Не указана,https://hh.ru/vacancy/131325090,Опыт 3-6 лет,не указан,Нет,Деловой центр,data analyst,"sql, postgresql, mongodb, greenplum, hadoop, spark, kafka, etl",
"Аналитик данных, Реклама",Ozon Tech,Не указана,https://hh.ru/vacancy/128526341,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"python, sql, clickhouse, hadoop, superset, airflow, spark, etl, ml",
Лид HR-аналитики (внутренний продукт корпоративного портала Alfa People),Альфа-Банк,Не указана,https://hh.ru/vacancy/131619722,Опыт 3-6 лет,lead,Нет,Технопарк,data analyst,"sql, kafka, etl, api, ml",
Бизнес-аналитик (Фрод-мониторинг),Сбер. Кибербезопасность,Не указана,https://hh.ru/vacancy/133191909,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"sql, jira, confluence, etl, api",
Data Engineer,Сбер. IT,Не указана,https://hh.ru/vacancy/131819141,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"python, sql, oracle, etl",
1C Аналитик | 1C Analyst,Aston,Не указана,https://hh.ru/vacancy/133082750,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,1с,
Старший Разработчик Data Science,Детский мир. ДМ-тех,Не указана,https://hh.ru/vacancy/132994899,Опыт 3-6 лет,senior,Да,Окружная,data analyst,"python, sql, hadoop, spark, pandas, numpy, scikit, jira, confluence, a/b, api, ml",
Bi-аналитик (Data Platform),БЮРО 1440,Не указана,https://hh.ru/vacancy/129276406,Опыт 3-6 лет,не указан,Да,Багратионовская,data analyst,"python, sql, postgresql, clickhouse, superset, airflow",
Data engineer (Штаб СХ),Сбер. IT,Не указана,https://hh.ru/vacancy/132969204,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"python, sql, clickhouse, greenplum, hadoop, airflow, spark, git, pandas, numpy, a/b, etl",
Старший менеджер по бизнес-аналитике АО,Т2. Офис,Не указана,https://hh.ru/vacancy/132481011,Опыт 3-6 лет,senior,Нет,Говорово,data analyst,"python, sql, etl",
Data Engineer,ООО HeadHunter::Infrastructure engineers,Не указана,https://hh.ru/vacancy/132836103,Опыт 3-6 лет,не указан,Да,Белорусская,data analyst,"python, sql, postgresql, trino, hadoop, airflow, spark, etl",
"DeFi Analyst , Researcher / DeFi Аналитик",ООО Датафинн,Не указана,https://hh.ru/vacancy/133012520,Опыт более 6 лет,не указан,Нет,Не указано,data analyst,"python, sql",
IT BI & Data Tech Lead,Логика молока. Офис,Не указана,https://hh.ru/vacancy/133029308,Опыт 3-6 лет,lead,Да,Не указано,data analyst,"sql, postgresql, clickhouse, greenplum, etl",
Стажер Data-аналитик,Сбер. Data Science,Не указана,https://hh.ru/vacancy/132677564,Без опыта,не указан,Нет,Не указано,data analyst,sql,
Senior Data Engineеr,ИП Казарьянц Артур Эдуардович,Не указана,https://hh.ru/vacancy/132888223,Опыт более 6 лет,senior,Да,Не указано,data analyst,"sql, postgresql, clickhouse, oracle, greenplum, hadoop, tableau, qlik, superset, airflow, spark, kafka, jira, confluence, etl",
Data Scientist / ML-инженер (алгоритмы и оптимизация),Rubbles,Не указана,https://hh.ru/vacancy/129370191,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,"python, pandas, numpy, ml",
"Senior Data Engineer (Airflow, DWH)",Marfatech,Не указана,https://hh.ru/vacancy/132957511,Опыт 3-6 лет,senior,Да,Не указано,data analyst,"sql, redshift, airflow, dbt",
Аналитик по качеству данных (Data Steward),АО Национальная Страховая Информационная Система,Не указана,https://hh.ru/vacancy/132791195,Опыт 1-3 года,не указан,Нет,Добрынинская,data analyst,"python, sql, postgresql, etl, api",
Тимлид продуктовой аналитики,ВкусВилл. Офис,Не указана,https://hh.ru/vacancy/133123295,Опыт 3-6 лет,lead,Да,Не указано,data analyst,"python, sql, superset, metabase, datalens, a/b, ml",
Data Engineer (Прайсинг),RWB (Wildberries & Russ),Не указана,https://hh.ru/vacancy/132847463,Опыт 3-6 лет,не указан,Да,Библиотека им.Ленина,data analyst,"python, sql, clickhouse, trino, airflow, spark",
Product analyst Expansion,ООО Звук,Не указана,https://hh.ru/vacancy/132811748,Опыт 3-6 лет,не указан,Нет,Кутузовская,data analyst,"python, sql, a/b",
Бизнес-аналитик,ООО ВсеИнструменты.ру,Не указана,https://hh.ru/vacancy/132676545,Опыт 1-3 года,не указан,Да,Белорусская,data analyst,sql,
Senior Data Scientist,Сбер. IT,Не указана,https://hh.ru/vacancy/132847523,Опыт 3-6 лет,senior,Нет,Не указано,data analyst,"python, sql, hadoop, airflow, spark, kafka, git, pandas, numpy, scikit, etl, ml",
Лид продуктовой аналитики,Т-Банк. ИТ. Аналитика,Не указана,https://hh.ru/vacancy/133110205,Опыт 3-6 лет,lead,Нет,Белорусская,data analyst,"sql, tableau, a/b",
Data Product Owner,АльфаСтрахование. ИТ,Не указана,https://hh.ru/vacancy/132826171,Опыт более 6 лет,не указан,Нет,Автозаводская,data analyst,"sql, clickhouse, greenplum, hadoop, power bi, tableau, datalens, spark, kafka, a/b, ml",
Аналитик данных,Сбер для экспертов,Не указана,https://hh.ru/vacancy/132994331,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"python, sql, hadoop, excel, pandas, numpy",
Специалист по ресурсному планированию и HR-аналитике,Московский метрополитен,Не указана,https://hh.ru/vacancy/132300924,Опыт 3-6 лет,не указан,Нет,Белорусская,data analyst,excel,
Продуктовый аналитик,Сбер для экспертов,Не указана,https://hh.ru/vacancy/132985093,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"sql, postgresql, oracle, excel",
Digital‑маркетолог по трафику и CRM (Junior),Data Heroes,Не указана,https://hh.ru/vacancy/132596003,Без опыта,junior,Да,Библиотека им.Ленина,data analyst,Не найдено,
Аналитик данных,cбербанк россии,Не указана,https://hh.ru/vacancy/132981109,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"python, sql, postgresql, greenplum, hadoop, spark, pandas, numpy",
Аналитик данных,ООО Сбер2B,Не указана,https://hh.ru/vacancy/132093486,Опыт 3-6 лет,не указан,Нет,Верхние Котлы,data analyst,"python, sql, hadoop, spark, etl, ml",
Архитектор решений (Data/AI),СберЗдоровье,Не указана,https://hh.ru/vacancy/132830993,Опыт более 6 лет,не указан,Да,Не указано,data analyst,"sql, postgresql, clickhouse, trino, superset, dbt, etl, ml",
Аналитик,Московский метрополитен,Не указана,https://hh.ru/vacancy/132747478,Опыт 1-3 года,не указан,Нет,Белорусская,data analyst,"python, sql",
Инженер данных / Data engineer,RDP.RU,Не указана,https://hh.ru/vacancy/132838931,Опыт 1-3 года,не указан,Да,Марксистская,data analyst,"python, sql, clickhouse, mongodb, hadoop, airflow, spark, git, pandas, numpy, scikit",
Senior Data Engineer в Маркет,Яндекс.Маркет,Не указана,https://hh.ru/vacancy/132917537,Опыт 3-6 лет,senior,Нет,Не указано,data analyst,"python, sql, clickhouse, hadoop, etl",
"Системный аналитик (DWH, Data Platform)",ООО Медиа Ком,Не указана,https://hh.ru/vacancy/132594912,Опыт 3-6 лет,не указан,Нет,Парк культуры,data analyst,"sql, etl, api",
Младший консультант/Стратег-аналитик,Paper Planes,Не указана,https://hh.ru/vacancy/133108571,Без опыта,junior,Нет,Белорусская,data analyst,Не найдено,
Аналитик данных (клиентская аналитика)\Data Analyst (Customer Analytics),S8 Capital,Не указана,https://hh.ru/vacancy/132539594,Опыт 1-3 года,не указан,Нет,Деловой центр,data analyst,"sql, excel, pandas, numpy, matplotlib, a/b",
Продуктовый Аналитик / Product Analyst,ООО Марс,Не указана,https://hh.ru/vacancy/132127244,Опыт 3-6 лет,не указан,Нет,Сокол,data analyst,"python, sql, power bi, superset, a/b",
Business-management analyst (Экономист-аналитик),ООО Урс Консалтинг,Не указана,https://hh.ru/vacancy/132854681,Опыт 1-3 года,не указан,Да,Не указано,data analyst,Не найдено,
Data Scientist middle/senior,X5 Tech,Не указана,https://hh.ru/vacancy/120855552,Опыт 3-6 лет,senior,Да,Не указано,data analyst,"python, sql, hadoop, airflow, kafka, a/b",
Data Engineer (Премиальные решения),Сбер. IT,Не указана,https://hh.ru/vacancy/132807152,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"sql, greenplum, hadoop, airflow, spark, kafka, etl",
Lead BI аналитик,LADA Цифра,Не указана,https://hh.ru/vacancy/132277853,Опыт более 6 лет,lead,Нет,Динамо,data analyst,"sql, power bi, superset, datalens, etl",
Руководитель направления аналитики,РУСАЛ,Не указана,https://hh.ru/vacancy/132169276,Опыт 3-6 лет,не указан,Нет,Багратионовская,data analyst,"python, excel",
Инженер-программист аналитики автопилота (Python),ООО Эвокарго,Не указана,https://hh.ru/vacancy/127823534,Опыт 3-6 лет,не указан,Нет,Алексеевская,data analyst,"python, sql, clickhouse, metabase, git",
Системный аналитик ETL,ООО ИК СИБИНТЕК,Не указана,https://hh.ru/vacancy/132982795,Опыт 3-6 лет,не указан,Да,Беговая,data analyst,Не найдено,
Технический тимлид Data Science / Machine Learning в департамент HRM-технологии и аналитики,ПАО Ростелеком,Не указана,https://hh.ru/vacancy/132894540,Опыт 3-6 лет,lead,Да,Таганская,data analyst,"a/b, ml",
Джуниор системный аналитик,Юна,Не указана,https://hh.ru/vacancy/132996311,Опыт 1-3 года,не указан,Нет,Дмитровская,data analyst,"sql, kafka, jira, confluence, api",
Старший системный аналитик,ООО Сбер2B,Не указана,https://hh.ru/vacancy/133003252,Опыт 3-6 лет,senior,Нет,Беляево,data analyst,"sql, jira, confluence, api",
Senior Data scientist,yourhr.tech,Не указана,https://hh.ru/vacancy/132552859,Опыт 3-6 лет,senior,Да,Не указано,data analyst,"python, mysql, git, ml",
Аналитик DWH,ITFB Group,Не указана,https://hh.ru/vacancy/132853552,Опыт 1-3 года,не указан,Да,ЗИЛ,data analyst,"sql, clickhouse, oracle, tableau, jira, etl",
Chief Data Officer / Директор по данным,RIS group,Не указана,https://hh.ru/vacancy/131948215,Опыт более 6 лет,не указан,Нет,Аэропорт,data analyst,"sql, postgresql, clickhouse, mongodb, airflow",
Бизнес-аналитик,ООО Сбер2B,Не указана,https://hh.ru/vacancy/132856034,Опыт 3-6 лет,не указан,Нет,Беляево,data analyst,a/b,
Аналитик Данных в Trust and Safety,RWB (Wildberries & Russ),Не указана,https://hh.ru/vacancy/133023685,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,"python, sql, ml",
Data Scientist (Speech),ООО Ростелеком Информационные Технологии,Не указана,https://hh.ru/vacancy/129431924,Опыт 1-3 года,не указан,Да,Не указано,data analyst,ml,
Аналитик данных / BI-аналитик (FASHION),look.online,Не указана,https://hh.ru/vacancy/132927676,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"sql, postgresql, clickhouse, datalens, excel, power query, airflow, dbt, etl",
Data-аналитик (middle/ senior) в службу бизнес аналитики и планирования,"ПАО ВТБ, Розничный бизнес",Не указана,https://hh.ru/vacancy/131911890,Опыт 3-6 лет,senior,Нет,Арбатская,data analyst,"python, sql, hadoop, power bi, superset, excel, spark",
Аналитик в антифрод (Credit Risk),Сбер. IT,Не указана,https://hh.ru/vacancy/133022060,Опыт 1-3 года,не указан,Нет,Не указано,data analyst,"python, sql, greenplum, hadoop, excel, ml",
Системный аналитик,Aston,Не указана,https://hh.ru/vacancy/132846096,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,"1с, jira, confluence, ml",
Аналитик 1С (1С: УНФ),ЛИАН,Не указана,https://hh.ru/vacancy/133086685,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,"excel, 1с, api",
Транспортный аналитик,Московский метрополитен,Не указана,https://hh.ru/vacancy/132813041,Опыт 1-3 года,не указан,Нет,Не указано,data analyst,"sql, excel, jira, confluence",
Портфельный аналитик (Риск-аналитик),Т-Банк. ИТ. Аналитика,Не указана,https://hh.ru/vacancy/129146046,Опыт 1-3 года,не указан,Нет,Белорусская,data analyst,"python, sql, pandas, numpy, ml",
Lead Data Engineer / Ведущий инженер данных,ООО Блейз Аналитикс,Не указана,https://hh.ru/vacancy/132761247,Опыт 3-6 лет,lead,Нет,Кузнецкий мост,data analyst,"python, oracle, greenplum, trino, hadoop, airflow, spark, git, etl",
Менеджер маркетплейсов (Ozon),ИП Курдюков Дмитрий Николаевич,Не указана,https://hh.ru/vacancy/132997799,Опыт 1-3 года,не указан,Да,Не указано,data analyst,Не найдено,
Senior Data Scientist (Центр портфельного риск-моделирования),Сбер. Data Science,Не указана,https://hh.ru/vacancy/132790673,Опыт 3-6 лет,senior,Нет,Не указано,data analyst,"python, sql, ml",
Аналитик данных,ООО ИЦ АЙ-ТЕКО,Не указана,https://hh.ru/vacancy/131982685,Опыт 3-6 лет,не указан,Нет,Кутузовская,data analyst,"sql, hadoop",
Дата инженер в команду Data Core,Сбер. Data Science,Не указана,https://hh.ru/vacancy/132618988,Опыт 1-3 года,не указан,Нет,Не указано,data analyst,"python, sql, postgresql, greenplum, hadoop, kafka, pandas, numpy, jira, etl",
Senior data scientist (разработка моделей рисков),Альфа-Банк. Центральный офис,Не указана,https://hh.ru/vacancy/132671727,Без опыта,senior,Нет,Не указано,data analyst,"python, sql, hadoop, spark, pandas, numpy, scikit, jira, confluence",
Senior аналитик данных,ПАО Московская Биржа,Не указана,https://hh.ru/vacancy/132805049,Опыт 3-6 лет,senior,Нет,Охотный ряд,data analyst,"python, sql, power bi, tableau, a/b",
"Старший Data Scientist, Факторы ранжирования LLM",Ozon Tech,Не указана,https://hh.ru/vacancy/131676010,Опыт 3-6 лет,senior,Да,Не указано,data analyst,"python, sql, clickhouse, hadoop, airflow, spark, ml",
Junior Data Engineer (Python/SQL/ClickHouse),"Группа компаний «Group4Media», Управляющая компания",Не указана,https://hh.ru/vacancy/132622082,Опыт 1-3 года,junior,Нет,Не указано,data analyst,"python, sql, clickhouse, datalens, airflow, git, etl",
Системный аналитик КХД(Банк),SkillStaff,Не указана,https://hh.ru/vacancy/132895984,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,Не найдено,
Руководитель группы разработки хранилища данных,Volna.tech,Не указана,https://hh.ru/vacancy/132634324,Опыт более 6 лет,не указан,Нет,Не указано,data analyst,"python, sql, redshift, airflow, kafka, dbt, etl, api",
Руководитель направления отдела обеспечения качества данных,АО РНПК,Не указана,https://hh.ru/vacancy/132530614,Опыт 3-6 лет,не указан,Нет,Маяковская,data analyst,Не найдено,
Системный аналитик,ООО АФЛТ-Системс,Не указана,https://hh.ru/vacancy/132676649,Опыт 3-6 лет,не указан,Нет,Новокузнецкая,data analyst,"python, sql, postgresql, clickhouse, kafka, jira, confluence",
Data Scientist в команду Посуточно,Циан,Не указана,https://hh.ru/vacancy/131607525,Опыт 3-6 лет,не указан,Да,Преображенская площадь,data analyst,"python, hadoop, spark, ml",
Программист (инженер ETL/ELT / Data Engineer),"Нек. орг. Российский университет дружбы народов, ФГАОУ ВО",Не указана,https://hh.ru/vacancy/132589253,Опыт 3-6 лет,не указан,Да,Беляево,data analyst,"sql, 1с, etl, api",
СМО / Директор по маркетингу,Команда Леонида Тальписа,Не указана,https://hh.ru/vacancy/132856333,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,Не найдено,
Аналитик данных,Федеральная пассажирская компания (АО ФПК),Не указана,https://hh.ru/vacancy/132629571,Опыт более 6 лет,не указан,Нет,Красные ворота,data analyst,"sql, power bi, tableau, qlik",
Системный аналитик,Сбер. IT,Не указана,https://hh.ru/vacancy/132635813,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,api,
Senior data scientist (разработка рисковых розничных моделей),Альфа-Банк. Центральный офис,Не указана,https://hh.ru/vacancy/132672265,Опыт 3-6 лет,senior,Нет,Не указано,data analyst,"python, sql, hadoop, spark, pandas, numpy, scikit, jira, confluence",
Бизнес-дата-партнер,ИТ,Не указана,https://hh.ru/vacancy/133147450,Опыт 3-6 лет,не указан,Нет,Автозаводская,data analyst,ml,
Аналитик AI,Navicon,Не указана,https://hh.ru/vacancy/132629641,Опыт 3-6 лет,не указан,Да,Дубровка,data analyst,"python, ml",
Руководитель отдела продуктовой аналитики и исследований,Правительство Москвы,Не указана,https://hh.ru/vacancy/131928704,Опыт 3-6 лет,не указан,Нет,Проспект Мира,data analyst,Не найдено,
Full-stack аналитик,Altenar,Не указана,https://hh.ru/vacancy/128772268,Опыт 1-3 года,не указан,Да,Не указано,data analyst,Не найдено,
Системный / Продуктовый аналитик,Altenar,Не указана,https://hh.ru/vacancy/128486209,Опыт 1-3 года,не указан,Да,Не указано,data analyst,python,
Главный системный аналитик/Team Lead,Альфа-Банк. ИТ-специалисты,Не указана,https://hh.ru/vacancy/132812017,Опыт более 6 лет,lead,Да,Не указано,data analyst,"sql, kafka",
Специалист по сопровождению CRM,Иннотек Интернасиональ,Не указана,https://hh.ru/vacancy/132849155,Опыт 1-3 года,не указан,Нет,Не указано,data analyst,Не найдено,
Руководитель отдела финансовой аналитики / Head of Analytics,MANGO OFFICE,Не указана,https://hh.ru/vacancy/132156990,Опыт 3-6 лет,не указан,Нет,Воронцовская,data analyst,"power bi, tableau, qlik",
Аналитик по продажам на маркетплейсах,Интернет-магазин САНБРАВО.РУ,Не указана,https://hh.ru/vacancy/132794973,Опыт 3-6 лет,не указан,Нет,Не указано,data analyst,"excel, google sheets, power query",
Руководитель отдела портфельного управления (Collection),Сентинел Кредит Менеджмент,Не указана,https://hh.ru/vacancy/132533121,Опыт 3-6 лет,не указан,Нет,Деловой центр (Выставочная),data analyst,"python, sql, power bi, excel",
Старший аудитор-аналитик,Альфа-Банк. Центральный офис,Не указана,https://hh.ru/vacancy/132635710,Опыт 3-6 лет,senior,Нет,Автозаводская,data analyst,"python, sql, oracle",
Продуктовый аналитик в направление Публикации,ООО HeadHunter::Продуктовые аналитики,Не указана,https://hh.ru/vacancy/132748741,Опыт 3-6 лет,не указан,Да,Белорусская,data analyst,"python, sql, hadoop, tableau, airflow",
Системный аналитик (Security),YADRO,Не указана,https://hh.ru/vacancy/130925274,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,"jira, confluence",
Руководитель группы продуктовой аналитики,"VK, Одноклассники",Не указана,https://hh.ru/vacancy/132696700,Опыт более 6 лет,не указан,Нет,Аэропорт,data analyst,"python, sql, power bi, tableau, superset, looker, pandas, numpy, matplotlib, ml",
Аналитик (Private banking),ЛОКО-БАНК,Не указана,https://hh.ru/vacancy/131774350,Опыт 1-3 года,не указан,Нет,Аэропорт,data analyst,sql,
Лид продуктовой аналитики в ЦЭБ,Т-Банк. Бизнес и процессы. Compliance,Не указана,https://hh.ru/vacancy/132760452,Опыт 3-6 лет,lead,Нет,Белорусская,data analyst,"python, sql, clickhouse, greenplum, hadoop, tableau, superset, jira, a/b, машинное обучение",
"Старший аналитик данных, Ozon Банк",Ozon Банк,Не указана,https://hh.ru/vacancy/129378339,Опыт 3-6 лет,senior,Нет,Москва-Сити,data analyst,"python, sql, power bi, tableau, superset, airflow, pandas, numpy, etl",
Tech Unit Lead (Marketing Experience),Циан,Не указана,https://hh.ru/vacancy/131545055,Опыт 3-6 лет,lead,Да,Не указано,data analyst,"python, ml",
Руководитель направления (Аналитика закупочной деятельности),РУСАЛ,Не указана,https://hh.ru/vacancy/128393213,Опыт более 6 лет,не указан,Нет,Багратионовская,data analyst,"oracle, power bi, superset, excel",
Старший продуктовый аналитик,Иви,Не указана,https://hh.ru/vacancy/132577794,Опыт 3-6 лет,senior,Нет,Дмитровская,data analyst,"python, sql, clickhouse, spark, a/b",
Аналитик новых ниш на маркетплейсах в Москве,KORSHUNOVA.PRO,Не указана,https://hh.ru/vacancy/132893322,Опыт 1-3 года,не указан,Да,Перово,data analyst,"power bi, tableau, excel, google sheets",
Бизнес аналитик 1С (Транспортный ЭДО),ООО Сбер2B,Не указана,https://hh.ru/vacancy/132623170,Опыт 3-6 лет,не указан,Нет,Воронцовская,data analyst,"1с, api",
Менеджер проектов оптимизации эффективности документирования Yandex Crowd,Команда Поисковых сервисов и ИИ,Не указана,https://hh.ru/vacancy/132640169,Опыт 3-6 лет,не указан,Нет,Октябрьская,data analyst,Не найдено,
Руководитель направления кроссблочной аналитики и отчетности,Альфа-Банк,Не указана,https://hh.ru/vacancy/132594943,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,"sql, etl",
Аналитик данных (BI&DWH) кроссканального антифрода,ООО РСХБ-Интех,Не указана,https://hh.ru/vacancy/131821849,Опыт 3-6 лет,не указан,Да,Генерала Тюленева,data analyst,"clickhouse, airflow, spark, kafka",
Аналитик по фрахту и морской логистике,S7 Group,Не указана,https://hh.ru/vacancy/132212680,Опыт 1-3 года,не указан,Нет,Охотный ряд,data analyst,"python, tableau, excel",
Руководитель направления стратегической аналитики розничного бизнеса,АО Банк ДОМ.РФ Другие подразделения,Не указана,https://hh.ru/vacancy/130835022,Опыт 3-6 лет,не указан,Нет,Динамо,data analyst,"python, sql, power bi, tableau, qlik, a/b",
Менеджер по маркетплейсам Wildberries и Ozon,ИП Самир Александр Абдулович,Не указана,https://hh.ru/vacancy/133326268,Опыт 1-3 года,не указан,Да,Библиотека им.Ленина,data analyst,Не найдено,
CDO | Директор управления по данным и BI-аналитики,ASTERUS (ООО ВХД Менеджмент),Не указана,https://hh.ru/vacancy/132551529,Опыт более 6 лет,не указан,Нет,Новокузнецкая,data analyst,"postgresql, clickhouse, a/b, etl",
Product Lead,Центральный университет,Не указана,https://hh.ru/vacancy/131966479,Опыт 3-6 лет,lead,Нет,Маяковская,data analyst,Не найдено,
MLOps Engineer / Инженер ML-инфраструктуры,NGENIX,Не указана,https://hh.ru/vacancy/132567152,Опыт 3-6 лет,не указан,Да,Гражданская,data analyst,"python, sql, clickhouse, airflow, kafka, dbt, etl, ml",
Ведущий инженер данных,Сloud.ru: Кибербезопасность,Не указана,https://hh.ru/vacancy/133304770,Опыт 3-6 лет,не указан,Да,Не указано,data analyst,"sql, clickhouse, etl",
Администратор проектов,Московский метрополитен,Не указана,https://hh.ru/vacancy/133412711,Опыт 1-3 года,не указан,Нет,Белорусская,data analyst,"sql, hadoop, spark, jira, confluence",
