title,company,salary,link,experience,grade,remote,metro,query,skills_found,published_date
Product Analyst (Авиасейлс OTA),Aviasales.ru,Не указана,https://hh.ru/vacancy/131333121,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"python, sql, tableau, a/b, ml",
Аналитик отдела маркетинга,АО Лемниската,Не указана,https://hh.ru/vacancy/133325277,Опыт 1-3 года,не указан,Нет,Белорусская,аналитик данных,excel,
Социолог-аналитик (прикладные социологические исследования),"ГРЧЦ, ФГУП",Не указана,https://hh.ru/vacancy/133352265,Опыт 1-3 года,не указан,Нет,Павелецкая,аналитик данных,excel,
Менеджер по управлению товарными запасами,Магазины Ароматный Мир формата food & wine,Не указана,https://hh.ru/vacancy/133395777,Опыт 1-3 года,не указан,Нет,Кунцевская,аналитик данных,"python, sql, excel, power query",
Старший специалист по клиентской аналитике,ANCOR,Не указана,https://hh.ru/vacancy/133369725,Опыт 1-3 года,senior,Нет,Беломорская,аналитик данных,"python, sql, power bi, tableau, looker, pandas, a/b, ml",
Продуктовый аналитик (TPP Supply),Островок.Ostrovok!Tech,Не указана,https://hh.ru/vacancy/133392806,Опыт 3-6 лет,не указан,Да,Достоевская,аналитик данных,"python, sql, tableau, metabase, a/b",
Ведущий аналитик данных,АО Национальная система платежных карт,Не указана,https://hh.ru/vacancy/132306887,Опыт 3-6 лет,не указан,Нет,Новокузнецкая,аналитик данных,"python, sql, hadoop, excel, spark",
Аналитик DWH в команду ЕХД 2.0,АО Банк ДОМ.РФ IT,Не указана,https://hh.ru/vacancy/133358758,Опыт 3-6 лет,не указан,Да,Гражданская,аналитик данных,"python, sql, clickhouse, oracle, greenplum, trino, airflow, dbt, etl",
Младший специалист-аналитик данных ВТБ РОСТ,Changellenge,Не указана,https://hh.ru/vacancy/133080486,Опыт 1-3 года,junior,Нет,Не указано,аналитик данных,"python, sql, power bi, tableau, qlik, excel",
Младший аналитик в инвестиционную компанию (коммерческая недвижимость),Global Invest Solutions,Не указана,https://hh.ru/vacancy/130970633,Опыт 1-3 года,junior,Нет,Не указано,аналитик данных,excel,
Старший аналитик отдела операционной поддержки планирования запасных частей,Avanta Россия,Не указана,https://hh.ru/vacancy/133257184,Опыт 3-6 лет,senior,Нет,Баррикадная,аналитик данных,"sql, power bi, excel",
Аналитик розничной сети (офис),ООО РАНТ трейд,Не указана,https://hh.ru/vacancy/133403980,Опыт 1-3 года,не указан,Нет,ВДНХ,аналитик данных,"sql, excel, power query, 1с",
Руководитель отдела аналитики,ООО ПРОМОМЕД,Не указана,https://hh.ru/vacancy/133324836,Опыт более 6 лет,не указан,Нет,Проспект Мира,аналитик данных,"sql, excel, power query",
Аналитик отдела аналитики и организационного проектирования,АО Авиакомпания Россия,Не указана,https://hh.ru/vacancy/133302270,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,1с,
Старший специалист по планированию спроса,Bonduelle,Не указана,https://hh.ru/vacancy/133407742,Опыт 3-6 лет,senior,Нет,Красносельская,аналитик данных,"power bi, excel, power query",
"Стажер (аналитика,программирование)",ПАО Ростелеком,Не указана,https://hh.ru/vacancy/133213125,Без опыта,не указан,Нет,Курская,аналитик данных,"python, sql, excel, pandas, numpy, matplotlib",
Аналитик данных (DWH/BI),ООО Деко Системс,Не указана,https://hh.ru/vacancy/133307596,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"sql, oracle, greenplum, hadoop, tableau, superset",
Финансовый аналитик,MERLION: Бэк-офис,Не указана,https://hh.ru/vacancy/132744294,Опыт 3-6 лет,не указан,Нет,Мякинино,аналитик данных,"excel, 1с",
Аналитик данных,3Logic Group,Не указана,https://hh.ru/vacancy/131507328,Опыт 3-6 лет,не указан,Нет,Киевская,аналитик данных,"python, sql, excel, power query, pandas, numpy, etl, api, ml",
Финансовый аналитик,Фармфорвард,Не указана,https://hh.ru/vacancy/132882279,Опыт 3-6 лет,не указан,Нет,Багратионовская,аналитик данных,"excel, 1с",
Антифрод-аналитик,ООО Финтехробот,Не указана,https://hh.ru/vacancy/133044144,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,"python, sql, postgresql, mysql, pandas, ml",
Продуктовый аналитик,Т2. Аdtech,Не указана,https://hh.ru/vacancy/133396976,Опыт 1-3 года,не указан,Нет,Говорово,аналитик данных,"python, sql, a/b",
Аналитик данных (Ozon Travel),Ozon Офис и Коммерция,Не указана,https://hh.ru/vacancy/132825277,Опыт 1-3 года,не указан,Да,Деловой центр,аналитик данных,"python, sql, clickhouse, superset, airflow, pandas, numpy",
Аналитик данных (направление ИИ),ООО РСХБ-Интех,Не указана,https://hh.ru/vacancy/133300679,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"python, sql, postgresql, greenplum, superset, spark, pandas, numpy, matplotlib, etl",
Бизнес аналитик,ГКУ Инфогород,Не указана,https://hh.ru/vacancy/133397851,Опыт 3-6 лет,не указан,Нет,Курская,аналитик данных,"confluence, api",
Специалист по аналитике и консолидации данных,АСТ-Интернэшнл инваэронмэнт,Не указана,https://hh.ru/vacancy/133349379,Опыт 1-3 года,lead,Нет,Варшавская,аналитик данных,excel,
Fullstack-аналитик,АО МЦ-Сервис Инжиниринг,Не указана,https://hh.ru/vacancy/132879584,Опыт более 6 лет,не указан,Да,Не указано,аналитик данных,Не найдено,
Химик-аналитик,STENTEX,Не указана,https://hh.ru/vacancy/133042026,Опыт 1-3 года,не указан,Нет,Баковка,аналитик данных,Не найдено,
Сметчик аналитик,StartOffice,Не указана,https://hh.ru/vacancy/130997992,Опыт 1-3 года,не указан,Нет,Киевская,аналитик данных,Не найдено,
"Аналитик 1С (отчетность, BI)",EKONIKA,Не указана,https://hh.ru/vacancy/127743877,Опыт 3-6 лет,не указан,Нет,Достоевская,аналитик данных,"sql, 1с, jira, confluence, api",
Fullstack аналитик,ООО ИЦ АЙ-ТЕКО,Не указана,https://hh.ru/vacancy/133392980,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"sql, postgresql, kafka, jira, confluence, api",
